GEO_ID,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
1500000US490039605004,"Block Group 4, Census Tract 9605, Box Elder County, Utah",328,80,29,28,61,60,0,11,26,25,38,42,4,7,20,24,0,11,39,41,24,23,14,22,10,17,29,27,23,22,11,19,0,11
1500000US490039606011,"Block Group 1, Census Tract 9606.01, Box Elder County, Utah",423,96,9,13,35,51,0,11,0,11,17,20,19,23,30,30,48,44,41,31,33,47,39,33,96,59,28,24,20,20,0,11,8,12
1500000US490039606012,"Block Group 2, Census Tract 9606.01, Box Elder County, Utah",326,79,55,61,0,11,0,11,13,17,0,11,15,22,21,22,9,14,0,11,28,26,63,39,36,28,46,54,7,11,33,37,0,11
1500000US490039606013,"Block Group 3, Census Tract 9606.01, Box Elder County, Utah",220,71,12,17,9,15,0,11,38,57,12,19,18,19,47,39,0,11,0,11,8,14,0,11,33,27,33,28,0,11,10,16,0,11
1500000US490039606014,"Block Group 4, Census Tract 9606.01, Box Elder County, Utah",305,64,80,55,7,11,0,11,17,19,21,23,8,12,13,21,47,50,0,11,14,24,33,26,49,32,16,24,0,11,0,11,0,11
1500000US490039606021,"Block Group 1, Census Tract 9606.02, Box Elder County, Utah",335,45,5,7,7,11,0,11,0,11,6,9,13,11,20,18,5,9,20,14,44,42,40,19,71,28,40,25,26,20,14,15,24,16
1500000US490039606022,"Block Group 2, Census Tract 9606.02, Box Elder County, Utah",320,47,5,8,5,8,9,10,0,11,36,40,4,8,12,12,5,10,0,11,36,32,26,21,42,24,44,20,60,38,26,19,10,10
1500000US490039606023,"Block Group 3, Census Tract 9606.02, Box Elder County, Utah",192,36,0,11,0,11,11,13,33,25,0,11,6,8,12,13,5,8,8,11,30,21,34,24,19,16,10,11,0,11,11,10,13,14
1500000US490039607011,"Block Group 1, Census Tract 9607.01, Box Elder County, Utah",361,81,0,11,13,20,0,11,34,33,11,17,6,10,49,38,0,11,39,48,62,57,49,33,37,31,20,19,14,18,27,26,0,11
1500000US490039607012,"Block Group 2, Census Tract 9607.01, Box Elder County, Utah",881,109,15,17,23,24,0,11,0,11,96,43,107,82,37,33,51,35,83,71,78,38,86,49,162,72,45,31,7,10,79,58,12,19
1500000US490039607013,"Block Group 3, Census Tract 9607.01, Box Elder County, Utah",653,91,15,22,8,13,23,26,28,31,57,49,29,43,30,27,82,44,79,46,35,24,93,49,73,35,57,44,24,22,20,29,0,11
1500000US490039607021,"Block Group 1, Census Tract 9607.02, Box Elder County, Utah",658,80,66,43,17,14,64,30,49,29,25,27,26,24,53,36,18,16,37,28,70,49,41,26,64,30,45,25,35,42,34,38,14,24
1500000US490039607022,"Block Group 2, Census Tract 9607.02, Box Elder County, Utah",343,66,26,24,47,44,0,11,9,13,44,46,23,27,10,11,15,13,21,19,16,17,37,25,39,30,16,12,25,20,0,11,15,18
1500000US490039608011,"Block Group 1, Census Tract 9608.01, Box Elder County, Utah",237,41,4,5,9,6,11,13,8,11,3,5,7,7,0,11,6,6,3,4,18,12,32,20,36,19,29,16,29,13,26,14,16,10
1500000US490039608012,"Block Group 2, Census Tract 9608.01, Box Elder County, Utah",553,63,9,12,16,17,15,18,22,16,65,41,29,36,19,15,3,5,16,11,25,18,55,27,102,31,85,47,40,23,46,29,6,7
1500000US490039608013,"Block Group 3, Census Tract 9608.01, Box Elder County, Utah",669,77,0,11,13,14,21,14,13,15,43,47,16,13,42,33,23,16,31,32,63,37,36,27,103,33,94,35,77,36,49,24,45,36
1500000US490039608021,"Block Group 1, Census Tract 9608.02, Box Elder County, Utah",592,85,7,12,0,11,0,11,27,42,0,11,9,14,19,21,0,11,28,25,22,23,54,38,173,78,57,35,66,44,90,47,40,25
1500000US490039608022,"Block Group 2, Census Tract 9608.02, Box Elder County, Utah",383,68,0,11,0,11,7,12,9,14,13,20,44,36,10,18,10,15,41,54,13,15,50,33,30,23,33,27,19,20,99,57,5,8
1500000US490039608023,"Block Group 3, Census Tract 9608.02, Box Elder County, Utah",497,74,10,17,0,11,0,11,0,11,0,11,7,11,16,18,65,58,7,13,57,36,29,25,98,43,84,42,42,34,55,34,27,41
1500000US490050001011,"Block Group 1, Census Tract 1.01, Cache County, Utah",535,53,0,11,0,11,17,11,24,24,11,14,18,15,46,28,20,20,42,21,43,20,62,31,64,29,98,42,43,25,16,15,31,21
1500000US490050001012,"Block Group 2, Census Tract 1.01, Cache County, Utah",544,64,22,18,6,8,23,22,16,11,8,8,39,28,12,9,43,27,34,17,66,34,68,30,92,29,48,19,49,26,15,13,3,5
1500000US490050001013,"Block Group 3, Census Tract 1.01, Cache County, Utah",431,55,18,18,25,27,13,14,29,22,10,13,26,26,9,13,20,17,49,30,48,29,37,21,72,24,28,19,6,9,34,20,7,10
1500000US490050001021,"Block Group 1, Census Tract 1.02, Cache County, Utah",260,30,0,11,4,7,16,13,7,6,24,16,18,13,10,9,12,8,15,10,32,21,30,11,32,15,29,14,13,8,2,3,16,14
1500000US490050001022,"Block Group 2, Census Tract 1.02, Cache County, Utah",233,38,2,3,8,9,3,4,14,13,11,6,22,21,20,19,6,6,11,6,21,10,24,17,47,15,27,16,9,7,6,6,2,3
1500000US490050002011,"Block Group 1, Census Tract 2.01, Cache County, Utah",569,56,0,11,0,11,0,11,10,15,39,31,21,22,17,14,52,38,74,42,57,32,78,38,78,39,74,43,31,25,32,20,6,10
1500000US490050002012,"Block Group 2, Census Tract 2.01, Cache County, Utah",513,74,27,30,15,17,8,13,0,11,7,11,15,17,9,14,14,16,31,24,73,53,72,54,166,59,44,52,7,12,8,13,17,20
1500000US490050002021,"Block Group 1, Census Tract 2.02, Cache County, Utah",312,65,10,16,27,30,15,25,0,11,0,11,13,21,13,20,32,36,11,19,20,30,69,51,88,58,0,11,14,22,0,11,0,11
1500000US490050002022,"Block Group 2, Census Tract 2.02, Cache County, Utah",898,100,65,53,30,37,0,11,28,32,19,30,13,20,61,63,67,61,42,47,95,66,134,65,89,60,142,78,13,20,90,57,10,18
1500000US490050002023,"Block Group 3, Census Tract 2.02, Cache County, Utah",579,73,14,23,0,11,20,32,17,29,0,11,16,20,33,37,14,22,41,41,12,21,96,66,113,55,120,68,62,49,11,17,10,17
1500000US490050002024,"Block Group 4, Census Tract 2.02, Cache County, Utah",514,83,0,11,0,11,0,11,0,11,0,11,0,11,25,27,12,20,22,33,0,11,119,64,142,83,64,45,68,55,30,33,32,30
1500000US490050003001,"Block Group 1, Census Tract 3, Cache County, Utah",352,64,1,3,6,6,9,7,17,18,11,10,20,13,7,10,18,15,45,47,61,46,58,41,50,26,28,12,10,8,6,5,5,7
1500000US490050003002,"Block Group 2, Census Tract 3, Cache County, Utah",343,65,4,5,8,6,15,19,2,4,2,4,10,7,12,8,5,6,16,21,67,40,64,34,34,16,40,24,26,19,32,35,6,6
1500000US490050003003,"Block Group 3, Census Tract 3, Cache County, Utah",470,71,0,11,15,22,0,11,13,19,20,25,17,25,18,24,60,53,0,11,55,44,16,24,28,32,116,70,72,58,27,28,13,20
1500000US490050003004,"Block Group 4, Census Tract 3, Cache County, Utah",1140,98,13,19,106,98,55,48,58,62,209,111,69,76,84,62,0,11,32,35,39,30,133,72,174,101,119,75,13,18,13,20,23,27
1500000US490050004011,"Block Group 1, Census Tract 4.01, Cache County, Utah",1255,155,166,85,44,40,87,47,82,50,96,68,83,48,86,72,34,35,31,27,174,101,129,64,86,47,91,57,14,16,30,27,22,24
1500000US490050004012,"Block Group 2, Census Tract 4.01, Cache County, Utah",403,86,0,11,12,18,0,11,0,11,0,11,11,17,0,11,0,11,22,27,11,18,68,51,61,45,99,67,2,7,17,17,100,66
1500000US490050004021,"Block Group 1, Census Tract 4.02, Cache County, Utah",644,72,8,12,44,57,5,7,0,11,18,19,13,21,7,12,0,11,26,33,46,36,47,31,95,44,48,36,32,24,87,49,168,73
1500000US490050004022,"Block Group 2, Census Tract 4.02, Cache County, Utah",533,76,15,16,13,18,0,11,0,11,24,20,0,11,0,11,22,20,28,20,46,31,93,54,94,47,33,21,40,32,71,48,54,37
1500000US490050004031,"Block Group 1, Census Tract 4.03, Cache County, Utah",585,71,17,20,0,11,46,44,10,15,25,36,9,13,0,11,23,27,6,8,50,34,26,26,121,67,148,56,19,19,53,36,32,26
1500000US490050004032,"Block Group 2, Census Tract 4.03, Cache County, Utah",359,60,22,25,11,16,0,11,13,22,0,11,11,17,9,14,25,27,30,22,18,20,47,36,88,41,35,25,23,22,0,11,27,24
1500000US490050004033,"Block Group 3, Census Tract 4.03, Cache County, Utah",405,81,0,11,10,15,8,11,0,11,0,11,70,67,9,15,27,24,29,29,40,24,26,23,112,49,27,19,21,24,18,19,8,12
1500000US490050004034,"Block Group 4, Census Tract 4.03, Cache County, Utah",419,62,0,11,12,20,0,11,14,22,0,11,14,17,12,19,15,16,5,7,35,33,84,47,18,19,45,27,26,23,102,45,37,28
1500000US490050005011,"Block Group 1, Census Tract 5.01, Cache County, Utah",421,93,14,23,0,11,64,69,61,63,10,15,26,29,9,15,38,43,33,42,78,58,18,20,43,47,8,13,7,11,0,11,12,21
1500000US490050005012,"Block Group 2, Census Tract 5.01, Cache County, Utah",557,113,34,39,68,43,14,21,64,44,125,76,51,35,38,45,41,39,8,12,9,15,14,17,49,57,18,20,0,11,24,37,0,11
1500000US490050005013,"Block Group 3, Census Tract 5.01, Cache County, Utah",575,98,19,30,42,63,78,55,37,30,67,50,70,62,26,29,8,12,44,33,22,26,30,35,31,29,65,44,9,15,27,27,0,11
1500000US490050005014,"Block Group 4, Census Tract 5.01, Cache County, Utah",497,105,81,47,23,21,27,36,8,13,40,36,49,45,16,19,39,31,42,51,63,69,40,33,54,40,7,12,0,11,8,12,0,11
1500000US490050005021,"Block Group 1, Census Tract 5.02, Cache County, Utah",1507,136,68,54,8,13,70,56,86,53,119,76,114,64,161,77,131,74,142,77,78,49,227,139,222,129,33,32,34,29,14,20,0,11
1500000US490050005022,"Block Group 2, Census Tract 5.02, Cache County, Utah",713,101,41,34,18,19,17,20,48,54,80,64,63,44,74,45,70,51,50,43,66,56,77,57,64,41,24,20,16,23,5,10,0,11
1500000US490050006001,"Block Group 1, Census Tract 6, Cache County, Utah",163,54,0,11,0,11,35,34,0,11,0,11,13,21,0,11,0,11,19,29,43,51,26,21,27,31,0,11,0,11,0,11,0,11
1500000US490050006002,"Block Group 2, Census Tract 6, Cache County, Utah",730,133,73,70,56,44,36,53,76,84,14,24,30,36,37,60,155,94,67,49,65,55,78,72,16,24,11,18,16,26,0,11,0,11
1500000US490050006003,"Block Group 3, Census Tract 6, Cache County, Utah",266,81,13,22,15,25,0,11,23,27,92,88,0,11,30,33,0,11,0,11,39,36,13,19,13,20,28,31,0,11,0,11,0,11
1500000US490050006004,"Block Group 4, Census Tract 6, Cache County, Utah",399,136,26,31,48,77,13,21,25,31,0,11,40,61,0,11,87,99,74,74,0,11,28,32,58,52,0,11,0,11,0,11,0,11
1500000US490050006005,"Block Group 5, Census Tract 6, Cache County, Utah",362,96,113,88,12,20,18,27,46,46,57,43,0,11,0,11,0,11,12,19,0,11,62,35,15,26,14,23,0,11,13,21,0,11
1500000US490050006006,"Block Group 6, Census Tract 6, Cache County, Utah",257,113,12,19,15,25,34,38,65,85,68,93,18,30,24,29,0,11,0,11,14,24,0,11,7,13,0,11,0,11,0,11,0,11
1500000US490050007011,"Block Group 1, Census Tract 7.01, Cache County, Utah",645,71,34,43,7,11,7,12,12,18,33,41,29,27,9,12,21,31,12,17,16,17,55,35,115,53,113,44,66,34,73,37,43,30
1500000US490050007012,"Block Group 2, Census Tract 7.01, Cache County, Utah",477,61,27,23,12,16,38,28,0,11,37,30,17,18,7,11,13,20,11,16,37,24,45,33,88,43,37,28,26,27,57,36,25,27
1500000US490050007013,"Block Group 3, Census Tract 7.01, Cache County, Utah",234,55,8,12,32,49,0,11,22,34,34,24,22,37,0,11,0,11,0,11,10,15,11,17,30,23,40,30,16,19,9,13,0,11
1500000US490050007021,"Block Group 1, Census Tract 7.02, Cache County, Utah",64,21,0,11,12,14,0,11,17,14,7,12,10,12,0,11,0,11,6,9,5,7,0,11,7,10,0,11,0,11,0,11,0,11
1500000US490050007022,"Block Group 2, Census Tract 7.02, Cache County, Utah",65,50,21,32,0,11,0,11,17,27,0,11,0,11,0,11,0,11,0,11,0,11,27,28,0,11,0,11,0,11,0,11,0,11
1500000US490050007023,"Block Group 3, Census Tract 7.02, Cache County, Utah",435,60,95,44,60,28,56,32,40,30,44,27,54,27,26,17,12,14,6,10,24,24,10,10,8,9,0,11,0,11,0,11,0,11
1500000US490050008001,"Block Group 1, Census Tract 8, Cache County, Utah",611,151,75,71,112,68,42,47,95,62,34,38,56,54,43,50,0,11,13,21,42,49,83,75,16,28,0,11,0,11,0,11,0,11
1500000US490050008002,"Block Group 2, Census Tract 8, Cache County, Utah",386,101,31,36,18,29,23,25,0,11,26,41,47,44,15,25,23,25,0,11,14,23,77,84,59,54,0,11,38,41,15,21,0,11
1500000US490050008003,"Block Group 3, Census Tract 8, Cache County, Utah",369,113,96,77,54,53,0,11,19,25,38,34,66,57,28,41,13,25,24,24,14,22,0,11,17,28,0,11,0,11,0,11,0,11
1500000US490050008004,"Block Group 4, Census Tract 8, Cache County, Utah",639,127,42,42,109,64,57,60,83,78,24,38,12,20,119,104,23,27,31,26,0,11,42,41,74,63,23,39,0,11,0,11,0,11
1500000US490050009001,"Block Group 1, Census Tract 9, Cache County, Utah",682,105,16,17,11,17,51,35,99,72,103,74,83,71,30,29,30,28,48,38,28,24,73,46,83,50,0,11,9,14,18,22,0,11
1500000US490050009002,"Block Group 2, Census Tract 9, Cache County, Utah",290,73,34,30,0,11,24,24,35,42,0,11,28,40,26,32,7,12,10,14,21,23,18,20,26,28,24,23,30,29,0,11,7,13
1500000US490050009003,"Block Group 3, Census Tract 9, Cache County, Utah",357,90,32,51,37,41,9,12,10,15,0,11,12,18,18,17,41,28,0,11,39,41,95,68,39,29,16,19,0,11,9,14,0,11
1500000US490050010011,"Block Group 1, Census Tract 10.01, Cache County, Utah",523,72,3,7,22,25,0,11,44,31,19,19,26,28,44,26,49,28,14,14,70,36,113,52,64,30,33,21,4,8,18,14,0,11
1500000US490050010012,"Block Group 2, Census Tract 10.01, Cache County, Utah",399,53,0,11,17,15,10,10,36,39,11,13,28,23,5,10,40,33,32,26,34,20,46,27,93,59,29,20,16,21,2,4,0,11
1500000US490050010021,"Block Group 1, Census Tract 10.02, Cache County, Utah",356,83,42,32,42,61,9,14,0,11,13,20,7,11,60,43,25,25,10,15,56,58,37,32,20,23,0,11,10,15,0,11,25,26
1500000US490050010022,"Block Group 2, Census Tract 10.02, Cache County, Utah",333,77,0,11,82,51,0,11,54,44,0,11,10,15,39,48,37,49,8,12,10,15,40,33,10,16,33,48,0,11,10,17,0,11
1500000US490050010023,"Block Group 3, Census Tract 10.02, Cache County, Utah",781,117,76,47,82,64,11,17,113,61,11,20,37,28,36,46,31,25,65,65,56,51,71,38,138,64,20,23,11,17,23,26,0,11
1500000US490050010024,"Block Group 4, Census Tract 10.02, Cache County, Utah",360,88,10,15,0,11,0,11,43,49,26,24,41,42,34,53,9,16,0,11,38,31,49,34,63,44,18,20,19,20,10,16,0,11
1500000US490050011011,"Block Group 1, Census Tract 11.01, Cache County, Utah",913,92,30,28,57,52,19,18,9,15,31,23,30,23,22,22,62,31,46,54,107,58,139,54,173,54,71,38,73,44,26,23,18,17
1500000US490050011012,"Block Group 2, Census Tract 11.01, Cache County, Utah",400,52,0,11,0,11,0,11,34,21,13,19,9,13,9,13,19,19,0,11,19,22,71,50,54,32,79,49,30,29,29,24,34,28
1500000US490050011013,"Block Group 3, Census Tract 11.01, Cache County, Utah",688,90,49,58,7,10,0,11,12,18,25,23,65,39,38,30,11,16,95,71,22,24,101,54,103,46,73,44,29,26,39,32,19,22
1500000US490050011021,"Block Group 1, Census Tract 11.02, Cache County, Utah",515,70,7,10,8,13,0,11,0,11,22,24,16,17,8,12,11,15,14,17,21,21,46,30,96,45,65,49,39,28,36,30,126,51
1500000US490050011022,"Block Group 2, Census Tract 11.02, Cache County, Utah",674,76,73,35,8,10,27,26,11,10,48,36,33,26,15,12,45,22,68,43,61,27,61,24,95,30,47,21,35,16,35,31,12,11
1500000US490050011023,"Block Group 3, Census Tract 11.02, Cache County, Utah",459,65,12,18,4,7,0,11,0,11,22,19,8,13,23,23,0,11,0,11,3,6,73,47,99,50,100,42,46,33,12,12,57,36
1500000US490050012011,"Block Group 1, Census Tract 12.01, Cache County, Utah",610,77,7,11,15,16,0,11,4,7,28,30,6,7,36,31,20,19,31,25,61,40,42,25,116,43,122,49,54,37,21,22,47,33
1500000US490050012012,"Block Group 2, Census Tract 12.01, Cache County, Utah",527,66,10,15,0,11,6,12,0,11,11,15,25,22,17,19,0,11,8,13,60,45,29,24,97,43,63,31,92,43,34,26,75,36
1500000US490050012013,"Block Group 3, Census Tract 12.01, Cache County, Utah",436,76,12,19,0,11,0,11,12,19,18,22,0,11,10,15,41,36,20,18,25,21,66,45,95,57,46,24,41,26,26,24,24,25
1500000US490050012021,"Block Group 1, Census Tract 12.02, Cache County, Utah",566,75,10,16,0,11,5,9,0,11,34,43,26,25,0,11,21,34,19,21,21,26,78,48,92,54,52,38,102,58,106,49,0,11
1500000US490050012022,"Block Group 2, Census Tract 12.02, Cache County, Utah",1053,112,20,22,0,11,10,16,25,31,56,34,13,20,8,14,59,46,28,21,96,41,141,68,316,99,119,60,63,32,81,44,18,20
1500000US490050013001,"Block Group 1, Census Tract 13, Cache County, Utah",645,78,3,5,14,16,6,10,5,6,17,13,10,13,10,13,21,15,43,27,45,28,103,67,77,36,158,71,66,30,46,27,21,20
1500000US490050013002,"Block Group 2, Census Tract 13, Cache County, Utah",677,73,17,26,26,18,5,7,29,26,25,22,7,10,4,6,18,13,29,17,33,24,42,28,149,39,125,59,77,37,51,24,40,32
1500000US490050013003,"Block Group 3, Census Tract 13, Cache County, Utah",482,61,0,11,6,9,4,6,7,10,0,11,10,15,24,17,33,20,12,10,17,15,52,25,87,39,53,22,76,33,76,42,25,16
1500000US490050014011,"Block Group 1, Census Tract 14.01, Cache County, Utah",463,78,0,11,20,22,0,11,8,13,21,31,6,9,20,24,8,12,0,11,99,80,57,41,90,49,65,44,35,31,21,18,13,19
1500000US490050014012,"Block Group 2, Census Tract 14.01, Cache County, Utah",494,81,0,11,5,8,23,32,22,17,20,23,44,44,11,17,29,25,51,39,66,50,46,32,69,50,63,41,22,22,9,13,14,21
1500000US490050014013,"Block Group 3, Census Tract 14.01, Cache County, Utah",262,61,0,11,0,11,51,55,0,11,0,11,14,17,10,16,8,13,23,21,11,18,16,18,55,33,38,34,8,14,0,11,28,23
1500000US490050014021,"Block Group 1, Census Tract 14.02, Cache County, Utah",251,57,10,14,27,39,0,11,7,11,7,11,23,26,30,26,0,11,26,31,16,17,14,17,51,32,13,16,16,21,0,11,11,17
1500000US490050014022,"Block Group 2, Census Tract 14.02, Cache County, Utah",553,73,5,9,0,11,29,33,17,26,14,15,15,24,59,47,30,40,10,16,35,27,47,39,166,74,20,24,37,46,41,33,28,22
1500000US490050014023,"Block Group 3, Census Tract 14.02, Cache County, Utah",319,68,0,11,0,11,4,8,11,16,53,52,23,28,47,45,0,11,7,11,45,29,57,35,6,9,41,36,7,11,18,20,0,11
1500000US490050015001,"Block Group 1, Census Tract 15, Cache County, Utah",299,43,2,4,0,11,8,8,0,11,0,11,3,4,5,5,0,11,6,9,23,16,64,32,90,34,20,16,5,6,18,13,55,29
1500000US490050015002,"Block Group 2, Census Tract 15, Cache County, Utah",306,39,11,10,4,4,5,6,5,5,14,9,11,10,13,11,18,12,7,6,20,11,47,25,53,17,43,21,19,12,28,15,8,6
